"","Sepal.Length","Sepal.Width","Petal.Length","Petal.Width","Species"
"98",6.2,2.9,4.3,1.3,"versicolor"
"99",5.1,2.5,3,1.1,"versicolor"
"100",5.7,2.8,4.1,1.3,"versicolor"
"101",6.3,3.3,6,2.5,"versicolor"
"102",5.8,2.15346543329417,5.1,1.9,"virginica"
"103",7.1,3,5.9,2.1,"virginica"
"104",6.3,2.9,5.6,1.8,"virginica"
"105",6.5,3,5.8,2.2,"virginica"
"106",7.6,3,6.6,2.1,"virginica"
"107",4.9,2.5,4.5,1.70173723953504,"virginica"
"108",7.3,2.9,6.3,1.8,"virginica"
"109",6.7,2.34028473670842,5.8,1.8,"virginica"
"110",7.2,3.6,6.1,2.5,"virginica"
"111",6.5,3.2,5.1,2,"virginica"
"112",6.4,2.7,5.3,1.9,"virginica"
"113",6.8,3,5.5,2.1,"virginica"
"114",5.7,2.5,5.3293436182023,2,"virginica"
"115",5.8,2.8,5.1,1.98837831382438,"virginica"
"116",6.4,3.2,5.3,2.16856278998878,"virginica"
"117",6.5,3,4.86609264050328,1.8,"virginica"
"118",7.7,3.8,6.7,2.2,"virginica"
"119",7.7,2.6,6.9,2.3,"versicolor"
"120",6,2.2,5.38000860362175,1.5,"virginica"
"121",6.9,3.2,5.7,2.3,"virginica"
"122",5.6,2.8,4.9,2,"virginica"
"123",7.7,2.8,6.7,2,"virginica"
"124",6.3,2.7,4.9,2.05358747718615,"virginica"
"125",6.7,3.3,5.7,2.1,"virginica"
"126",6.92542799186708,3.2,6,2.07747545952612,"virginica"
"127",6.2,2.8,4.8,1.8,"virginica"
"128",6.1,3,4.9,1.8,"virginica"
"129",6.70475667995342,2.8,5.6,1.70486879223054,"virginica"
"130",7.2,3,5.8,1.6,"virginica"
"131",7.4,2.8,6.1,1.9,"virginica"
"132",7.9,3.8,6.4,2.23415830585505,"virginica"
"133",6.4,2.8,5.6,2.2,"virginica"
"134",6.3,2.8,5.1,1.5,"virginica"
"135",6.1,2.6,5.6,1.4,"virginica"
"136",7.7,3,6.1,2.3,"virginica"
"137",7.12306734858065,3.4,5.6,1.95947659254039,"virginica"
"138",6.4,3.1,5.5,1.8,"virginica"
"139",6,3,4.8,1.8,"virginica"
"140",6.9,3.1,5.4,2.1,"virginica"
"141",6.7,3.1,5.6,2.4,"virginica"
"142",6.9,3.1,5.1,2.3,"virginica"
"143",5.8,2.7,5.1,1.64334818802243,"versicolor"
"144",6.8,3.2,5.9,2.3,"virginica"
"145",6.7,3.3,5.7,2.12449842989322,"virginica"
"146",6.7,3,5.2,1.562265684015,"versicolor"
"147",6.3,2.5,5,1.9,"virginica"
"148",6.5,3,5.2,2,"virginica"
"149",6.2,3.4,5.4,2.3,"virginica"
"150",5.9,3,5.1,1.8,"virginica"
